country_iso2,name_en,name_th
TH,Bangkok,กรุงเทพฯ
TH,Chiang Mai,เชียงใหม่
TH,Phuket,ภูเก็ต
JP,Tokyo,โตเกียว
JP,Osaka,โอซาก้า
FR,Paris,ปารีส
FR,Nice,นีซ
US,New York,นิวยอร์ก
US,Los Angeles,ลอสแอนเจลิส
GB,London,ลอนดอน
GB,Manchester,แมนเชสเตอร์
CN,Beijing,ปักกิ่ง
CN,Shanghai,เซี่ยงไฮ้
KR,Seoul,โซล
KR,Busan,ปูซาน
SG,Singapore,สิงคโปร์
MY,Kuala Lumpur,กัวลาลัมเปอร์
VN,Hanoi,ฮานอย
VN,Ho Chi Minh City,โฮจิมินห์ซิตี
LA,Vientiane,เวียงจันทน์
KH,Phnom Penh,พนมเปญ
ID,Jakarta,จาการ์ตา
ID,Bali,บาหลี
AU,Sydney,ซิดนีย์
AU,Melbourne,เมลเบิร์น
DE,Frankfurt,แฟรงก์เฟิร์ต
DE,Munich,มิวนิก
IT,Rome,โรม
IT,Milan,มิลาน
ES,Barcelona,บาร์เซโลนา
ES,Madrid,มาดริด
CH,Zurich,ซูริก
AE,Dubai,ดูไบ
AE,Abu Dhabi,อาบูดาบี
IN,Delhi,เดลี
IN,Mumbai,มุมไบ
